address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
2794 N Dee Ann Ave,Fresno,CA,93727,31000,2000.0,0.0,NA,19,Auction,http://www.zillow.com/homes/for_sale//homedetails/2794-N-Dee-Ann-Ave-Fresno-CA-93727/89468103_zpid/
6790 E Christine Ave,Fresno,CA,93727,270990,2450.0,5.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094372483_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
5063 E Hammond Ave,Fresno,CA,93727,6.4000,NA,0.0,NA,19,Auction,http://www.zillow.com/homes/for_sale//homedetails/5063-E-Hammond-Ave-Fresno-CA-93727/18752498_zpid/
5086 E Floradora Ave,Fresno,CA,93727,11000,NA,0.0,NA,19,Auction,http://www.zillow.com/homes/for_sale//homedetails/5086-E-Floradora-Ave-Fresno-CA-93727/18752748_zpid/
1239 S Arroyo Ave,Fresno,CA,93727,282990,1923.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093036854_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
4882 E Harvey Ave,FRESNO,CA,93727,2.6000,NA,0.0,NA,19,Auction,http://www.zillow.com/homes/for_sale//homedetails/4882-E-Harvey-Ave-Fresno-CA-93727/95464061_zpid/
6945 E Christine Ave,Fresno,CA,93727,313990,2450.0,5.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2093036848_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
6919 E Erin Ave,Fresno,CA,93727,287990,2175.0,4.0,2.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094338980_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
5145 E Lane Ave APT 237,Fresno,CA,93727,65000,652.0,1.0,1.0,14,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5145-E-Lane-Ave-APT-237-Fresno-CA-93727/18767589_zpid/
1167 S Mckelvey Ave,Fresno,CA,93727,282990,1923.0,4.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2094372471_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2132 S Ezie Ave,Fresno,CA,93727,277000,2291.0,4.0,2.0,23,Auction,http://www.zillow.com/homes/for_sale//homedetails/2132-S-Ezie-Ave-Fresno-CA-93727/68981845_zpid/
4832 E Nevada Ave,Fresno,CA,93727,189000,1526.0,3.0,2.0,22,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4832-E-Nevada-Ave-Fresno-CA-93727/18759356_zpid/
5188 E Ashlan Ave APT 106,Fresno,CA,93727,119995,1207.0,2.0,1.5,17,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5188-E-Ashlan-Ave-APT-106-Fresno-CA-93727/18775660_zpid/
1796 S Sylmar Ave,Fresno,CA,93727,249000,2122.0,4.0,3.0,20,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1796-S-Sylmar-Ave-Fresno-CA-93727/18768222_zpid/
2441 S Bundy Dr,FRESNO,CA,93727,297950,1709.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2441-S-Bundy-Dr-Fresno-CA-93727/95480679_zpid/
5952 E Christine Ave,Fresno,CA,93727,357000,2062.0,4.0,2.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/5952-E-Christine-Ave-Fresno-CA-93727/68983053_zpid/
355 N Homsy Ave,Fresno,CA,93727,259000,1782.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/355-N-Homsy-Ave-Fresno-CA-93727/18759217_zpid/
317 N Claremont Ave,Fresno,CA,93727,274900,1590.0,3.0,2.0,27,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/317-N-Claremont-Ave-Fresno-CA-93727/18660256_zpid/
3142 N Douglas Ave,Fresno,CA,93727,409900,3127.0,5.0,2.5,15,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3142-N-Douglas-Ave-Fresno-CA-93727/68990006_zpid/
4845 E Balch Ave,Fresno,CA,93727,36000,NA,0.0,NA,19,Auction,http://www.zillow.com/homes/for_sale//homedetails/4845-E-Balch-Ave-Fresno-CA-93727/18760436_zpid/
4978 E White Ave,Fresno,CA,93727,259000,1600.0,4.0,2.0,12,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4978-E-White-Ave-Fresno-CA-93727/18753536_zpid/
813 S Laverne Ave,Fresno,CA,93727,392405,2684.0,4.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/813-S-Laverne-Ave-Fresno-CA-93727/2091017541_zpid/
5320 E Lyell Ave,Fresno,CA,93727,290250,1838.0,4.0,2.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/5320-E-Lyell-Ave-Fresno-CA-93727/2091174081_zpid/
6781 E Orleans Ave,Fresno,CA,93727,315000,1803.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6781-E-Orleans-Ave-Fresno-CA-93727/95465568_zpid/
2113 S De Sante Ave,Fresno,CA,93727,249000,1320.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2113-S-De-Sante-Ave-Fresno-CA-93727/95525181_zpid/
6645 E Farrin Ave,Fresno,CA,93727,380000,2912.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6645-E-Farrin-Ave-Fresno-CA-93727/95512710_zpid/
2305 S Rogers Ln,Fresno,CA,93727,379900,3477.0,4.0,3.0,20,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2305-S-Rogers-Ln-Fresno-CA-93727/79538348_zpid/
5489 E Burns Ave,Fresno,CA,93727,339906,2447.0,4.0,2.0,12,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5489-E-Burns-Ave-Fresno-CA-93727/2090917910_zpid/
6129 E Montecito Ave,Fresno,CA,93727,301000,2041.0,3.0,2.5,16,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6129-E-Montecito-Ave-Fresno-CA-93727/18659353_zpid/
6516 E Pontiac Way,Fresno,CA,93727,410000,3085.0,4.0,4.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/6516-E-Pontiac-Way-Fresno-CA-93727/95484955_zpid/
5321 E Liberty Ave,Fresno,CA,93727,267750,1580.0,3.0,2.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/5321-E-Liberty-Ave-Fresno-CA-93727/2091174088_zpid/
4860 E Lane Ave APT 236,Fresno,CA,93727,69900,937.0,2.0,1.0,27,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4860-E-Lane-Ave-APT-236-Fresno-CA-93727/18767231_zpid/
2589 N Whittier Ave,Fresno,CA,93727,334464,2165.0,4.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/2589-N-Whittier-Ave-Fresno-CA-93727/2091075560_zpid/
5314 E Lyell Ave,Fresno,CA,93727,302250,1989.0,4.0,2.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/5314-E-Lyell-Ave-Fresno-CA-93727/2091174084_zpid/
1302 S Orangewood Dr,Fresno,CA,93727,270250,1580.0,3.0,2.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/1302-S-Orangewood-Dr-Fresno-CA-93727/2091174087_zpid/
5386 E Orleans Ave,Fresno,CA,93727,165000,NA,NA,NA,15,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/5386-E-Orleans-Ave-Fresno-CA-93727/95468990_zpid/
5994 E Dayton Ave,Fresno,CA,93727,221000,NA,0.0,NA,19,Auction,http://www.zillow.com/homes/for_sale//homedetails/5994-E-Dayton-Ave-Fresno-CA-93727/18778326_zpid/
5341 E Liberty Ave,Fresno,CA,93727,310250,1989.0,4.0,2.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/5341-E-Liberty-Ave-Fresno-CA-93727/2091174086_zpid/
5778 E Alta Ave UNIT 103,Fresno,CA,93727,300000,3994.0,6.0,4.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/5778-E-Alta-Ave-UNIT-103-Fresno-CA-93727/18768985_zpid/
5523 E Geary St,FRESNO,CA,93727,276000,2348.0,4.0,3.0,716,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/5523-E-Geary-St-Fresno-CA-93727/79534923_zpid/
