address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,zestimate,zRange,builtIn,builtBy,comName,parking
address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,zestimate,zRange,builtIn,builtBy,comName,parking
2441 S Bundy Dr,FRESNO,CA,93727,297950,1709.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2441-S-Bundy-Dr-Fresno-CA-93727/95480679_zpid/,"$260,756","$248,000-$274,000",2009,NA,Single Family,Attached Garage
5952 E Christine Ave,Fresno,CA,93727,357000,2062.0,4.0,2.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/5952-E-Christine-Ave-Fresno-CA-93727/68983053_zpid/,"$296,195","$281,000-$311,000",2005,NA,Single Family,3 spaces
355 N Homsy Ave,Fresno,CA,93727,259000,1782.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/355-N-Homsy-Ave-Fresno-CA-93727/18759217_zpid/,"$222,795","$203,000-$234,000",1977,NA,Single Family,Attached Garage
317 N Claremont Ave,Fresno,CA,93727,274900,1590.0,3.0,2.0,27,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/317-N-Claremont-Ave-Fresno-CA-93727/18660256_zpid/,NA,NA,NA,NA,NA,NA
3142 N Douglas Ave,Fresno,CA,93727,409900,3127.0,5.0,2.5,15,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/3142-N-Douglas-Ave-Fresno-CA-93727/68990006_zpid/,"$400,581","$381,000-$421,000",2006,NA,Single Family,Attached Garage
4845 E Balch Ave,Fresno,CA,93727,36000,NA,0.0,NA,19,Auction,http://www.zillow.com/homes/for_sale//homedetails/4845-E-Balch-Ave-Fresno-CA-93727/18760436_zpid/,NA,NA,NA,NA,NA,NA
4978 E White Ave,Fresno,CA,93727,259000,1600.0,4.0,2.0,12,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4978-E-White-Ave-Fresno-CA-93727/18753536_zpid/,NA,NA,NA,NA,NA,NA
813 S Laverne Ave,Fresno,CA,93727,392405,2684.0,4.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/813-S-Laverne-Ave-Fresno-CA-93727/2091017541_zpid/,"$330,624","$268,000-$347,000", 2018,NA,NA," Attached Garage, 2 spaces"
5320 E Lyell Ave,Fresno,CA,93727,290250,1838.0,4.0,2.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/5320-E-Lyell-Ave-Fresno-CA-93727/2091174081_zpid/,"$278,862","$257,000-$307,000",NA,NA,NA, 2 spaces
6781 E Orleans Ave,Fresno,CA,93727,315000,1803.0,4.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6781-E-Orleans-Ave-Fresno-CA-93727/95465568_zpid/,NA,NA,NA,NA,NA,NA
2113 S De Sante Ave,Fresno,CA,93727,249000,1320.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2113-S-De-Sante-Ave-Fresno-CA-93727/95525181_zpid/,"$241,677","$230,000-$254,000",2010,NA,Single Family,2 spaces
6645 E Farrin Ave,Fresno,CA,93727,380000,2912.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6645-E-Farrin-Ave-Fresno-CA-93727/95512710_zpid/,"$393,964","$374,000-$414,000",2014,NA,Single Family,2 spaces
2305 S Rogers Ln,Fresno,CA,93727,379900,3477.0,4.0,3.0,20,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2305-S-Rogers-Ln-Fresno-CA-93727/79538348_zpid/,NA,NA,NA,NA,NA,NA
5489 E Burns Ave,Fresno,CA,93727,339906,2447.0,4.0,2.0,12,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/5489-E-Burns-Ave-Fresno-CA-93727/2090917910_zpid/,"$307,412","$292,000-$329,000",No Data,NA,Single Family,Attached Garage
6129 E Montecito Ave,Fresno,CA,93727,301000,2041.0,3.0,2.5,16,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/6129-E-Montecito-Ave-Fresno-CA-93727/18659353_zpid/,NA,NA,NA,NA,NA,NA
6516 E Pontiac Way,Fresno,CA,93727,410000,3085.0,4.0,4.0,NA,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/6516-E-Pontiac-Way-Fresno-CA-93727/95484955_zpid/,"$394,009","$374,000-$414,000",2015,NA,Single Family,3 spaces
5321 E Liberty Ave,Fresno,CA,93727,267750,1580.0,3.0,2.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/5321-E-Liberty-Ave-Fresno-CA-93727/2091174088_zpid/,NA,NA,NA,NA,NA,NA
4860 E Lane Ave APT 236,Fresno,CA,93727,69900,937.0,2.0,1.0,27,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4860-E-Lane-Ave-APT-236-Fresno-CA-93727/18767231_zpid/,"$68,541","$64,000-$75,000",1982,NA,Single Family,"Carport, Detached Garage"
